folio,siteNumber,phase,user,startDate,partId,sku,unr,unrId,qty,fac_qty,unitaryPrice, Adjusted income (TOTAL) ,rent,,period
A02150180,71447767,Facturado,gp@vsys.com,01/10/2017,27931234,UNC.CUAD.BS.202,UNR.CUAD.BS.202,27931235,1,1,$522.00,$522.00,$522.00,,
A04150055,71447767,Facturado,gp@vsys.com,01/10/2017,28031924,UNC.CUAD.BS.103,UNR.CUAD.BS.103,28031925,6,6,$165.73,$994.38,$994.38,,
A04150055,71447767,Facturado,gp@vsys.com,01/10/2017,28031926,UNC.CUAD.BS.901,UNR.CUAD.BS.901,28031927,33,33,$17.10,$564.30,$564.30,,
A04150055,71447767,Facturado,gp@vsys.com,01/10/2017,28031928,UNC.CUAD.BS.902,UNR.CUAD.BS.902,28031929,1,1,$647.10,$647.10,$647.10,,
A12150212,71452106,Facturado,gp@vsys.com,01/10/2017,29298730,UNC.CUAD.BS.101,UNR.CUAD.BS.101,29298731,40,25,$121.13,"$4,845.20","$3,028.25",,
A12150212,71452106,Facturado,gp@vsys.com,01/10/2017,29298748,UNC.CUAD.BS.203,UNR.CUAD.BS.203,29298750,40,25,$7.20,$288.00,$180.00,,
A12150213,71452062,Facturado,gp@vsys.com,01/10/2017,29298565,UNC.CUAD.BS.101,UNR.CUAD.BS.101,29298566,80,57,$121.13,"$9,690.40","$6,904.41",,
A12150213,71452062,Facturado,gp@vsys.com,01/10/2017,29298571,UNC.CUAD.BS.203,UNR.CUAD.BS.203,29298572,80,57,$7.20,$576.00,$410.40,,
A12150212,71452106,Facturado,gp@vsys.com,01/10/2017,29298730,UNC.CUAD.BS.101,UNR.CUAD.BS.101,29298731,40,7,$121.13,"$4,845.20",$847.91,,
A12150212,71452106,Facturado,gp@vsys.com,01/10/2017,29298748,UNC.CUAD.BS.203,UNR.CUAD.BS.203,29298750,40,7,$7.20,$288.00,$50.40,,
A12150212,71452106,Facturado,gp@vsys.com,01/10/2017,29298752,UNC.CUAD.BS.901,UNR.CUAD.BS.901,29298753,40,7,$17.10,$684.00,$119.70,,
A12150213,71452062,Facturado,gp@vsys.com,01/10/2017,29298565,UNC.CUAD.BS.101,UNR.CUAD.BS.101,29298566,80,1,$121.13,"$9,690.40",$121.13,,
A12150213,71452062,Facturado,gp@vsys.com,01/10/2017,29298573,UNC.CUAD.BS.901,UNR.CUAD.BS.901,29298574,81,1,$17.10,"$1,385.10",$17.10,,
A05171431,71461182,Facturado,gp@vsys.com,01/10/2017,31390003,UNC.CUAD.BS.103,UNR.CUAD.BS.103,31390004,15,15,$165.73,"$2,485.95","$2,485.95",,
A05171431,71461182,Facturado,gp@vsys.com,01/10/2017,31390009,UNC.CUAD.BS.203,UNR.CUAD.BS.203,31390010,15,15,$7.20,$108.00,$108.00,,
A05171431,71461182,Facturado,gp@vsys.com,01/10/2017,31390011,UNC.CUAD.BS.901,UNR.CUAD.BS.901,31390012,15,15,$17.10,$256.50,$256.50,,
A05171431,71461182,Facturado,gp@vsys.com,01/10/2017,31390021,UNC.CUAD.BS.902,UNR.CUAD.BS.902,31390022,1,1,$647.10,$647.10,$647.10,,
A12150212,71452106,Facturado,gp@vsys.com,01/10/2017,29298730,UNC.CUAD.BS.101,UNR.CUAD.BS.101,29298731,4,4,$121.13,$484.52,$484.52,,
A12150212,71452106,Facturado,gp@vsys.com,01/10/2017,29298752,UNC.CUAD.BS.901,UNR.CUAD.BS.901,29298753,4,4,$17.10,$68.40,$68.40,,
A12150212,71452106,Facturado,gp@vsys.com,01/10/2017,29298748,UNC.CUAD.BS.203,UNR.CUAD.BS.203,29298750,4,4,$7.20,$28.80,$28.80,,
A07170375,71596489,Facturado,gp@vsys.com,01/11/2017,31785834,UNC.CUAD.BS.102,UNR.CUAD.BS.102,31785835,20,20,$137.10,"$2,742.00","$2,742.00",,
A07170375,71596489,Facturado,gp@vsys.com,01/11/2017,31785836,UNC.CUAD.BS.202,UNR.CUAD.BS.202,31785837,1,1,$522.00,$522.00,$522.00,,
A07170375,71596489,Facturado,gp@vsys.com,01/11/2017,31785838,UNC.CUAD.BS.201,UNR.CUAD.BS.201,31785839,1,1,$51.30,$51.30,$51.30,,
A07170375,71596489,Facturado,gp@vsys.com,01/11/2017,31785840,UNC.CUAD.BS.203,UNR.CUAD.BS.203,31785841,18,18,$7.20,$129.60,$129.60,,
A07170375,71596489,Facturado,gp@vsys.com,01/11/2017,31785842,UNC.CUAD.BS.901,UNR.CUAD.BS.901,31785843,20,20,$17.10,$342.00,$342.00,,
A07170375,71596489,Facturado,gp@vsys.com,01/11/2017,31785852,UNC.CUAD.BS.902,UNR.CUAD.BS.902,31785853,1,1,$647.10,$647.10,$647.10,,
A07150425,71458116,Facturado,gp@vsys.com,10/01/2017,28262550,UNC.CUAD.BS.102,UNR.CUAD.BS.102,28262550,130,108,$137.10,"$17,823.00","$14,806.80",,
A07150425,71458116,Facturado,gp@vsys.com,10/01/2017,28262552,UNC.CUAD.BS.103,UNR.CUAD.BS.103,28262552,40,30,$165.73,"$6,629.20","$4,971.90",,
A07150425,71458116,Facturado,gp@vsys.com,10/01/2017,28262951,UNC.CUAD.BS.104,UNR.CUAD.BS.104,28262951,9,7,$199.85,"$1,798.65","$1,398.95",,
A07150425,71458116,Facturado,gp@vsys.com,10/01/2017,28262556,UNC.CUAD.BS.203,UNR.CUAD.BS.203,28262556,40,30,$7.20,$288.00,$216.00,,
A07150437,71459500,Facturado,gp@vsys.com,10/01/2017,28263215,UNC.CUAD.BS.102,UNR.CUAD.BS.102,28263216,2,2,$137.10,$274.20,$274.20,,
A07150437,71459500,Facturado,gp@vsys.com,10/01/2017,28263217,UNC.CUAD.BS.901,UNR.CUAD.BS.901,28263218,2,2,$17.10,$34.20,$34.20,,
A07150438,71459501,Facturado,gp@vsys.com,10/01/2017,28263227,UNC.CUAD.BS.102,UNR.CUAD.BS.102,28263228,5,5,$137.10,$685.50,$685.50,,
A07150438,71459501,Facturado,gp@vsys.com,10/01/2017,28263229,UNC.CUAD.BS.901,UNR.CUAD.BS.901,28263230,5,5,$17.10,$85.50,$85.50,,
A07150425,71458116,Facturado,gp@vsys.com,10/01/2017,28262549,UNC.CUAD.BS.102,UNR.CUAD.BS.102,28262550,130,18,$137.10,"$17,823.00","$2,467.80",,
A07150425,71458116,Facturado,gp@vsys.com,10/01/2017,28262557,UNC.CUAD.BS.901,UNR.CUAD.BS.901,28262558,179,18,$17.10,"$3,060.90",$307.80,,
A07150435,71459492,Facturado,gp@vsys.com,10/01/2017,28263148,UNC.CUAD.BS.102,UNR.CUAD.BS.102,28263149,1,1,$137.10,$137.10,$137.10,,
A07150435,71459492,Facturado,gp@vsys.com,10/01/2017,28263179,UNC.CUAD.BS.104,UNR.CUAD.BS.104,28263180,5,1,$199.85,$999.25,$199.85,,
A07150444,71459508,Facturado,gp@vsys.com,10/01/2017,28263322,UNC.CUAD.BS.102,UNR.CUAD.BS.102,28263323,3,2,$137.10,$411.30,$274.20,,
A07150444,71459508,Facturado,gp@vsys.com,10/01/2017,28263324,UNC.CUAD.BS.901,UNR.CUAD.BS.901,28263325,3,2,$17.10,$51.30,$34.20,,
A07160134,71582904,Facturado,gp@vsys.com,01/10/2017,30368313,UNC.CUAD.BS.102,UNR.CUAD.BS.102,30368314,10,10,$137.10,"$1,371.00","$1,371.00",,
A07160134,71582904,Facturado,gp@vsys.com,01/10/2017,30368324,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30368325,10,10,$17.10,$171.00,$171.00,,
A06160481 ,71459507,Facturado,gp@vsys.com,01/10/2017,30343537,UNC.CUAD.BS.103,UNR.CUAD.BS.103,30343538,1,1,$165.73,$165.73,$165.73,,
A06160481 ,71459507,Facturado,gp@vsys.com,01/10/2017,30343539,UNC.CUAD.BS.102 ,UNR.CUAD.BS.102,30343540,10,10,$137.10,"$1,371.00","$1,371.00",,
A06160481 ,71459507,Facturado,gp@vsys.com,01/10/2017,30343541,UNC.CUAD.BS.203 ,UNR.CUAD.BS.203,30343542,1,1,$7.20,$7.20,$7.20,,
A06160481 ,71459507,Facturado,gp@vsys.com,01/10/2017,30343543,UNC.CUAD.BS.901 ,UNR.CUAD.BS.901,30343544,11,11,$17.10,$188.10,$188.10,,
A06160478 ,71459511,Facturado,gp@vsys.com,01/10/2017,30343476,UNC.CUAD.BS.102,UNR.CUAD.BS.102,30343477,4,4,$137.10,$548.40,$548.40,,
A06160478 ,71459511,Facturado,gp@vsys.com,01/10/2017,30343478,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30343479,4,4,$17.10,$68.40,$68.40,,
 A07160189 ,71459493,Facturado,gp@vsys.com,01/10/2017,30370705,UNC.CUAD.BS.102 ,UNR.CUAD.BS.102,30370706,8,8,$137.10,"$1,096.80","$1,096.80",,
 A07160189 ,71459493,Facturado,gp@vsys.com,01/10/2017,30370707,UNC.CUAD.BS.103,UNR.CUAD.BS.103,30370708,2,2,$165.73,$331.46,$331.46,,
 A07160189 ,71459493,Facturado,gp@vsys.com,01/10/2017,30370709,UNC.CUAD.BS.203 ,UNR.CUAD.BS.203,30370710,2,2,$7.20,$14.40,$14.40,,
 A07160189 ,71459493,Facturado,gp@vsys.com,01/10/2017,30370711,UNC.CUAD.BS.901 ,UNR.CUAD.BS.901,30370712,10,10,$17.10,$171.00,$171.00,,
A06160482,71459504,Facturado,gp@vsys.com,01/10/2017,30343680,UNC.CUAD.BS.102,UNR.CUAD.BS.102,30343681,2,2,$137.10,$274.20,$274.20,,
A06160482,71459504,Facturado,gp@vsys.com,01/10/2017,30343682,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30343683,2,2,$17.10,$34.20,$34.20,,
A10160056,71459502,Facturado,gp@vsys.com,01/10/2017,30607629,UNC.CUAD.BS.102,UNR.CUAD.BS.102,30607630,2,2,$137.10,$274.20,$274.20,,
A10160056,71459502,Facturado,gp@vsys.com,01/10/2017,30607631,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30607632,2,2,$17.10,$34.20,$34.20,,
A06160479,71459505,Facturado,gp@vsys.com,01/10/2017,30343573,UNC.CUAD.BS.102,UNR.CUAD.BS.102,30343574,2,2,$137.10,$274.20,$274.20,,
A06160479,71459505,Facturado,gp@vsys.com,01/10/2017,30343575,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30343576,2,2,$17.10,$34.20,$34.20,,
A07160137,71566897,Facturado,gp@vsys.com,01/10/2017,30368457,UNC.CUAD.BS.102,UNR.CUAD.BS.102,30368458,10,10,$137.10,"$1,371.00","$1,371.00",,
A07160137,71566897,Facturado,gp@vsys.com,01/10/2017,30368461,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30368462,10,10,$17.10,$171.00,$171.00,,
A07160136,71570422,Facturado,gp@vsys.com,01/10/2017,30368350,UNC.CUAD.BS.102,UNR.CUAD.BS.102,30368351,10,10,$137.10,"$1,371.00","$1,371.00",,
A07160136,71570422,Facturado,gp@vsys.com,01/10/2017,30368354,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30368355,10,10,$17.10,$171.00,$171.00,,
A11160559,71570418,Facturado,gp@vsys.com,01/10/2017,30739292,UNC.CUAD.BS.102,UNR.CUAD.BS.102,30739293,10,10,$137.10,"$1,371.00","$1,371.00",,
A11160559,71570418,Facturado,gp@vsys.com,01/10/2017,30739296,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30739297,10,10,$17.10,$171.00,$171.00,,
A07160022,71459536,Facturado,gp@vsys.com,01/10/2017,30354708,UNC.CUAD.BS.102,UNR.CUAD.BS.102,30354709,11,11,$137.10,"$1,508.10","$1,508.10",,
A07160022,71459536,Facturado,gp@vsys.com,01/10/2017,30354709,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30354715,13,13,$17.10,$222.30,$222.30,,
A07160022,71459536,Facturado,gp@vsys.com,01/10/2017,30354710,UNC.CUAD.BS.103,UNR.CUAD.BS.103,30354711,2,2,$165.73,$331.46,$331.46,,
A07160022,71459536,Facturado,gp@vsys.com,01/10/2017,30354712,UNC.CUAD.BS.203,UNR.CUAD.BS.203,30354713,2,2,$7.20,$14.40,$14.40,,
A07160022,71459536,Facturado,gp@vsys.com,01/10/2017,30354714,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30354715,13,13,$17.10,$222.30,$222.30,,
A07160022,71459536,Facturado,gp@vsys.com,01/10/2017,30354725,UNC.CUAD.BS.902,UNR.CUAD.BS.902,30354726,1,1,$647.10,$647.10,$647.10,,
A07160020,71459518,Facturado,gp@vsys.com,01/10/2017,30354615,UNC.CUAD.BS.102,UNR.CUAD.BS.102,30354616,11,11,$137.10,"$1,508.10","$1,508.10",,
A07160020,71459518,Facturado,gp@vsys.com,01/10/2017,30354617,UNC.CUAD.BS.103,UNR.CUAD.BS.103,30354618,2,2,$165.73,$331.46,$331.46,,
A07160020,71459518,Facturado,gp@vsys.com,01/10/2017,30354619,UNC.CUAD.BS.104,UNR.CUAD.BS.104,30354620,1,1,$199.85,$199.85,$199.85,,
A07160020,71459518,Facturado,gp@vsys.com,01/10/2017,30354621,UNC.CUAD.BS.203,UNR.CUAD.BS.203,30354622,2,2,$7.20,$14.40,$14.40,,
A07160020,71459518,Facturado,gp@vsys.com,01/10/2017,30354624,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30354625,14,14,$17.10,$239.40,$239.40,,
A07160020,71459518,Facturado,gp@vsys.com,01/10/2017,30354635,UNC.CUAD.BS.902,UNR.CUAD.BS.902,30354636,1,1,$647.10,$647.10,$647.10,,
A06160490,71459488,Facturado,gp@vsys.com,01/10/2017,30343865,UNC.CUAD.BS.102,UNR.CUAD.BS.102,30343866,8,8,$137.10,"$1,096.80","$1,096.80",,
A06160490,71459488,Facturado,gp@vsys.com,01/10/2017,30343871,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30343872,10,8,$17.10,$171.00,$136.80,,
A06160490,71459488,Facturado,gp@vsys.com,01/10/2017,30343882,UNC.CUAD.BS.902,UNR.CUAD.BS.902,30343883,1,1,$647.10,$647.10,$647.10,,
A06160492,71459484,Facturado,gp@vsys.com,01/10/2017,30343910,UNC.CUAD.BS.102,UNR.CUAD.BS.102,30343911,12,12,$137.10,"$1,645.20","$1,645.20",,
A06160492,71459484,Facturado,gp@vsys.com,01/10/2017,30343912,UNC.CUAD.BS.104,UNR.CUAD.BS.104,30343913,1,1,$199.85,$199.85,$199.85,,
A06160492,71459484,Facturado,gp@vsys.com,01/10/2017,30343914,UNC.CUAD.BS.203,UNR.CUAD.BS.203,30343915,1,1,$7.20,$7.20,$7.20,,
A06160492,71459484,Facturado,gp@vsys.com,01/10/2017,30343916,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30343917,13,13,$17.10,$222.30,$222.30,,
A06160492,71459484,Facturado,gp@vsys.com,01/10/2017,30343926,UNC.CUAD.BS.902,UNR.CUAD.BS.902,30343927,1,1,$647.10,$647.10,$647.10,,
A06160487,71459489,Facturado,gp@vsys.com,01/10/2017,30343827,UNC.CUAD.BS.102,UNR.CUAD.BS.102,30343828,2,2,$137.10,$274.20,$274.20,,
A06160487,71459489,Facturado,gp@vsys.com,01/10/2017,30343829,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30343830,2,2,$17.10,$34.20,$34.20,,
 A07160016 ,71461978,Facturado,gp@vsys.com,01/10/2017,30354502,UNC.CUAD.BS.102,UNR.CUAD.BS.102,30354503,7,7,$137.10,$959.70,$959.70,,
 A07160016 ,71461978,Facturado,gp@vsys.com,01/10/2017,30354504,UNC.CUAD.BS.103 ,UNR.CUAD.BS.103 ,30354505,2,2,$165.73,$331.46,$331.46,,
 A07160016 ,71461978,Facturado,gp@vsys.com,01/10/2017,30354506,UNC.CUAD.BS.203,UNR.CUAD.BS.203 ,30354507,2,2,$7.20,$14.40,$14.40,,
 A07160016 ,71461978,Facturado,gp@vsys.com,01/10/2017,30354508,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30354509,9,9,$17.10,$153.90,$153.90,,
 A07160016 ,71461978,Facturado,gp@vsys.com,01/10/2017,30354519,UNC.CUAD.BS.902,UNR.CUAD.BS.902 ,30354520,1,1,$647.10,$647.10,$647.10,,
A07160015,71549005,Facturado,gp@vsys.com,01/10/2017,30354545,UNC.CUAD.BS.102,UNR.CUAD.BS.102,30354546,7,7,$137.10,$959.70,$959.70,,
A07160015,71549005,Facturado,gp@vsys.com,01/10/2017,30354547,UNC.CUAD.BS.901 ,UNR.CUAD.BS.901,30354548,7,7,$17.10,$119.70,$119.70,,
A07160031,71459545,Facturado,gp@vsys.com,01/10/2017,30355032,UNC.CUAD.BS.102,UNR.CUAD.BS.102 ,30355033,20,20,$137.10,"$2,742.00","$2,742.00",,
A07160031,71459545,Facturado,gp@vsys.com,01/10/2017,30355034,UNC.CUAD.BS.104,UNR.CUAD.BS.104 ,30355035,2,2,$199.85,$399.70,$399.70,,
A07160031,71459545,Facturado,gp@vsys.com,01/10/2017,30355036,UNC.CUAD.BS.901 ,UNR.CUAD.BS.901,30355037,22,22,$17.10,$376.20,$376.20,,
A07160031,71459545,Facturado,gp@vsys.com,01/10/2017,30355047,UNC.CUAD.BS.902,UNR.CUAD.BS.902,30355048,1,1,$647.10,$647.10,$647.10,,
A07160028,71461980,Facturado,gp@vsys.com,01/10/2017,30355303,UNC.CUAD.BS.103,UNR.CUAD.BS.103,30355304,2,2,$165.73,$331.46,$331.46,,
A07160028,71461980,Facturado,gp@vsys.com,01/10/2017,30355305,UNC.CUAD.BS.203 ,UNR.CUAD.BS.203,30355306,2,2,$7.20,$14.40,$14.40,,
A07160028,71461980,Facturado,gp@vsys.com,01/10/2017,30355307,UNC.CUAD.BS.102 ,UNR.CUAD.BS.102 ,30355308,13,13,$137.10,"$1,782.30","$1,782.30",,
A07160028,71461980,Facturado,gp@vsys.com,01/10/2017,30355309,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30355310,15,15,$17.10,$256.50,$256.50,,
A07160028,71461980,Facturado,gp@vsys.com,01/10/2017,30355337,UNC.CUAD.BS.902,UNR.CUAD.BS.902,30355338,1,1,$647.10,$647.10,$647.10,,
A07160030 ,71459595,Facturado,gp@vsys.com,01/10/2017,30355265,UNC.CUAD.BS.102 ,UNR.CUAD.BS.102,30355266,5,5,$137.10,$685.50,$685.50,,
A07160030 ,71459595,Facturado,gp@vsys.com,01/10/2017,30355267,UNC.CUAD.BS.103,UNR.CUAD.BS.103,30355268,2,2,$165.73,$331.46,$331.46,,
A07160030 ,71459595,Facturado,gp@vsys.com,01/10/2017,30355269,UNC.CUAD.BS.203,UNR.CUAD.BS.203 ,30355270,2,2,$7.20,$14.40,$14.40,,
A07160030 ,71459595,Facturado,gp@vsys.com,01/10/2017,30355271,UNC.CUAD.BS.901 ,UNR.CUAD.BS.901,30355272,7,7,$17.10,$119.70,$119.70,,
A07160030 ,71459595,Facturado,gp@vsys.com,01/10/2017,30355281,UNC.CUAD.BS.902 ,UNR.CUAD.BS.902,30355282,1,1,$647.10,$647.10,$647.10,,
A09160499,71459540,Facturado,gp@vsys.com,01/10/2017,30599790,UNC.CUAD.BS.103,UNR.CUAD.BS.103,30599791,2,2,$165.73,$331.46,$331.46,,
A09160499,71459540,Facturado,gp@vsys.com,01/10/2017,30599792,UNC.CUAD.BS.102,UNR.CUAD.BS.102,30599793,5,5,$137.10,$685.50,$685.50,,
A09160499,71459540,Facturado,gp@vsys.com,01/10/2017,30599794,UNC.CUAD.BS.203,UNR.CUAD.BS.203,30599795,2,2,$7.20,$14.40,$14.40,,
A09160499,71459540,Facturado,gp@vsys.com,01/10/2017,30599796,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30599797,7,7,$17.10,$119.70,$119.70,,
A09160499,71459540,Facturado,gp@vsys.com,01/10/2017,30599804,UNC.CUAD.BS.902,UNR.CUAD.BS.902,30599805,1,1,$647.10,$647.10,$647.10,,
A09160496,71459542,Facturado,gp@vsys.com,01/10/2017,30599828,UNC.CUAD.BS.102,UNR.CUAD.BS.102,30599829,2,2,$137.10,$274.20,$274.20,,
A09160496,71459542,Facturado,gp@vsys.com,01/10/2017,30599830,UNC.CUAD.BS.901,UNR.CUAD.BS.901,30599831,2,2,$17.10,$34.20,$34.20,,
A07160029,71461979,Facturado,gp@vsys.com,01/10/2017,30355105,UNC.CUAD.BS.102 ,UNR.CUAD.BS.102,30355106,6,6,$137.10,$822.60,$822.60,,
