folio,clientName,siteNumber,phase,user,startDate,partId,sku,unrId,unr,qty,fac_qty,unitaryPrice,Adjusted income (TOTAL),rent,,period
A10140254,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA CUICUILCO DF",70010209,Facturado,gp@vsys.com,08/11/2017,27402332,UNC.CUAD.911.1,27402333,UNR.CUAD.911.1,467,1,12,5604,12,,
A10140254,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA CUICUILCO DF",70010209,Facturado,gp@vsys.com,08/11/2017,27402332,UNC.CUAD.911.1,27402333,UNR.CUAD.911.1,467,1,12,5604,12,,
A10140228,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA CUICUILCO DF",70010209,Facturado,gp@vsys.com,11/25/2016,27392184,UNC.CUAD.906.1 ,27392657,UNR.CUAD.906.1,465,1,18.5,8602.5,18.5,,
A10140254,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA CUICUILCO DF",70010209,Facturado,gp@vsys.com,08/11/2017,27402332,UNC.CUAD.911.1,27402333,UNR.CUAD.911.1,467,1,12,5604,12,,
A10140254,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA CUICUILCO DF",70010209,Facturado,gp@vsys.com,08/11/2017,27402332,UNC.CUAD.911.1,27402333,UNR.CUAD.911.1,467,2,12,5604,24,,
A10140254,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA CUICUILCO DF",70010209,Facturado,gp@vsys.com,08/11/2017,27402332,UNC.CUAD.911.1,27402333,UNR.CUAD.911.1,467,3,12,5604,36,,
A10140228,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA CUICUILCO DF",70010209,Facturado,gp@vsys.com,11/25/2016,27392184,UNC.CUAD.906.1,27392657,UNR.CUAD.906.1,465,3,18.5,8602.5,55.5,,
A10140254,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA CUICUILCO DF",70010209,Facturado,gp@vsys.com,08/11/2017,27402332,UNC.CUAD.911.1,27402333,UNR.CUAD.911.1,467,2,12,5604,24,,
A10140228,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA CUICUILCO DF",70010209,Facturado,gp@vsys.com,11/25/2016,27392184,UNC.CUAD.906.1,27392657,UNR.CUAD.906.1,465,2,18.5,8602.5,37,,
A10140254,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA CUICUILCO DF",70010209,Facturado,gp@vsys.com,08/11/2017,27402332,UNC.CUAD.911.1,27402333,UNR.CUAD.911.1,467,2,12,5604,24,,
A10140228,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA CUICUILCO DF",70010209,Facturado,gp@vsys.com,11/25/2016,27392184,UNC.CUAD.906.1,27392657,UNR.CUAD.906.1,465,2,18.5,8602.5,37,,
A10140254,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA CUICUILCO DF",70010209,Facturado,gp@vsys.com,08/11/2017,27402332,UNC.CUAD.911.1,27402333,UNR.CUAD.911.1,467,1,12,5604,12,,
A01150609,ALQUILADORA DE VEHICULOS AUTOMOTORES ( CALL CENTER AEROPUERTO),71383853,Facturado,gp@vsys.com,5/26/2015,27792587,UNC.CUAD.903.1,27792601,UNR.CUAD.903.1,2,1,162.8,325.6,162.8,,
A01150609,ALQUILADORA DE VEHICULOS AUTOMOTORES ( CALL CENTER AEROPUERTO),71383853,Facturado,gp@vsys.com,5/26/2015,27792587,UNC.CUAD.903.1,27792601,UNR.CUAD.903.1,2,2,162.8,325.6,325.6,,
A01150609,ALQUILADORA DE VEHICULOS AUTOMOTORES ( CALL CENTER AEROPUERTO),71383853,Facturado,gp@vsys.com,06/02/2015,27792602,UNC.CUAD.912.1,27792637,UNR.CUAD.912.1,1,1,162.8,162.8,162.8,,
A01150609,ALQUILADORA DE VEHICULOS AUTOMOTORES ( CALL CENTER AEROPUERTO),71383853,Facturado,gp@vsys.com,06/02/2015,27792642,UNC.CUAD.911.1,27792643,UNR.CUAD.911.1,3,3,12,36,36,,
A04150152,ALQUILADORA DE VEHICULOS AUTOMOTORES MEX50,71441292,Facturado,gp@vsys.com,7/14/2015,28061917,UNC.CUAD.904.1,28061929,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A04150153,ALQUILADORA DE VEHICULOS AUTOMOTORES MEX51,71441293,Facturado,gp@vsys.com,7/14/2015,28061930,UNC.CUAD.904.1,28061942,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A04150122,ALQUILADORA DE VEHICULOS AUTOMOTORES MEX60,71441284,Facturado,gp@vsys.com,7/15/2015,28061839,UNC.CUAD.904.1,28061851,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A04150155,ALQUILADORA DE VEHICULOS AUTOMOTORES MEX63,71441283,Facturado,gp@vsys.com,7/15/2015,28061823,UNC.CUAD.904.1,28061835,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A04150143,ALQUILADORA DE VEHICULOS AUTOMOTORES MEX66,71441291,Facturado,gp@vsys.com,7/14/2015,28061904,UNC.CUAD.904.1,28061916,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A04150150,ALQUILADORA DE VEHICULOS AUTOMOTORES MEX67,71441282,Facturado,gp@vsys.com,7/14/2015,28061810,UNC.CUAD.904.1,28061822,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A04150134,ALQUILADORA DE VEHICULOS AUTOMOTORES MEX69,71441289,Facturado,gp@vsys.com,7/14/2015,28061878,UNC.CUAD.904.1,28061890,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A04150124,ALQUILADORA DE VEHICULOS AUTOMOTORES MEXFLOTA1,71441287,Facturado,gp@vsys.com,7/14/2015,28061852,UNC.CUAD.904.1,28061864,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A04150133,ALQUILADORA DE VEHICULOS AUTOMOTORES MEXFLOTA2,71441288,Facturado,gp@vsys.com,7/14/2015,28061865,UNC.CUAD.904.1,28061877,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A04150142,ALQUILADORA DE VEHICULOS AUTOMOTORES MEXOFICINA,71441290,Facturado,gp@vsys.com,7/14/2015,28061891,UNC.CUAD.904.1,28061903,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A04150109,ALQUILADORA DE VEHICULOS AUTOMOTORES GDL50,71441233,Facturado,gp@vsys.com,7/14/2015,28061538,UNC.CUAD.904.1,28061550,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A04150118,ALQUILADORA DE VEHICULOS AUTOMOTORES GDL60,71441234,Facturado,gp@vsys.com,7/14/2015,28061610,UNC.CUAD.904.1,28061611,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A04150119,ALQUILADORA DE VEHICULOS AUTOMOTORESGDL70,71441236,Facturado,gp@vsys.com,7/14/2015,28061612,UNC.CUAD.904.1,28061624,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A04150154,ALQUILADORA DE VEHICULOS AUTOMOTORESMTY50,71441294,Facturado,gp@vsys.com,7/14/2015,28061945,UNC.CUAD.904.1,28061957,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A04150158,ALQUILADORA DE VEHICULOS AUTOMOTORES MTY62,71441313,Facturado,gp@vsys.com,7/14/2015,28061960,UNC.CUAD.904.1,28061972,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150044 ,ALQUILADORA DE VEHICULOS AUTOMOTORES ACA50,71440584,Facturado,gp@vsys.com,8/21/2015,27777247,UNC.CUAD.911.1,27777248,UNR.CUAD.911.1,1,1,12,12,12,,
A04150096,ALQUILADORA DE VEHICULOS AUTOMOTORES ACA50,71440584,Facturado,gp@vsys.com,8/21/2015,28061329,UNC.CUAD.904.1,28061341,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150053,ALQUILADORA DE VEHICULOS AUTOMOTORES CDC50,71440964,Facturado,gp@vsys.com,8/21/2015,27777478,UNC.CUAD.911.1,27777479,UNR.CUAD.911.1,1,1,12,12,12,,
A04150190,ALQUILADORA DE VEHICULOS AUTOMOTORES CDC50,71440964,Facturado,gp@vsys.com,8/21/2015,28061452,UNC.CUAD.904.1,28061464,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150054 ,ALQUILADORA DE VEHICULOS AUTOMOTORES CEN50,71440971,Facturado,gp@vsys.com,8/21/2015,27777503,UNC.CUAD.911.1,27777504,UNR.CUAD.911.1,1,1,12,12,12,,
A04150105,ALQUILADORA DE VEHICULOS AUTOMOTORES CEN50,71440971,Facturado,gp@vsys.com,8/21/2015,28061482,UNC.CUAD.904.1,28061494,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150055,ALQUILADORA DE VEHICULOS AUTOMOTORES COA50,71440970,Facturado,gp@vsys.com,8/21/2015,27778105,UNC.CUAD.911.1,27778106,UNR.CUAD.911.1,1,1,12,12,12,,
A04150104,ALQUILADORA DE VEHICULOS AUTOMOTORES COA50,71440970,Facturado,gp@vsys.com,8/21/2015,28061467,UNC.CUAD.904.1,28061479,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150057,ALQUILADORA DE VEHICULOS AUTOMOTORES CUL50,71440975,Facturado,gp@vsys.com,8/21/2015,27778159,UNC.CUAD.911.1,27778160,UNR.CUAD.911.1,1,1,12,12,12,,
A04150107,ALQUILADORA DE VEHICULOS AUTOMOTORES CUL50,71440975,Facturado,gp@vsys.com,8/21/2015,28061510,UNC.CUAD.904.1,28061522,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150063,ALQUILADORA DE VEHICULOS AUTOMOTORES HER62,71441237,Facturado,gp@vsys.com,8/21/2015,27778288,UNC.CUAD.911.1,27778289,UNR.CUAD.911.1,1,1,12,12,12,,
A04150120,ALQUILADORA DE VEHICULOS AUTOMOTORES HER62,71441237,Facturado,gp@vsys.com,8/21/2015,28061625,UNC.CUAD.904.1,28061637,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150065 ,ALQUILADORA DE VEHICULOS AUTOMOTORES HUX50,71441239,Facturado,gp@vsys.com,8/21/2015,27778342,UNC.CUAD.911.1,27778343,UNR.CUAD.911.1,1,1,12,12,12,,
A04150128,ALQUILADORA DE VEHICULOS AUTOMOTORES HUX50,71441239,Facturado,gp@vsys.com,8/21/2015,28061653,UNC.CUAD.904.1,28061665,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150066,ALQUILADORA DE VEHICULOS AUTOMOTORES IXT50,71441240,Facturado,gp@vsys.com,8/21/2015,27778369,UNC.CUAD.911.1,27778370,UNR.CUAD.911.1,1,1,12,12,12,,
A04150129,ALQUILADORA DE VEHICULOS AUTOMOTORES IXT50,71441240,Facturado,gp@vsys.com,8/21/2015,28061668,UNC.CUAD.904.1,28061680,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150097,ALQUILADORA DE VEHICULOS AUTOMOTORES LAP50,71441241,Facturado,gp@vsys.com,8/21/2015,27780825,UNC.CUAD.911.1,27780826,UNR.CUAD.911.1,1,1,12,12,12,,
A04150132,ALQUILADORA DE VEHICULOS AUTOMOTORES LAP50,71441241,Facturado,gp@vsys.com,8/21/2015,28061683,UNC.CUAD.904.1,28061695,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
 A01150089 ,ALQUILADORA DE VEHICULOS AUTOMOTORES LAP60,71442890,Facturado,gp@vsys.com,8/22/2015,27779804,UNC.CUAD.911.1,27779805,UNR.CUAD.911.1,1,1,12,12,12,,
A04150160,ALQUILADORA DE VEHICULOS AUTOMOTORES LAP60,71442890,Facturado,gp@vsys.com,8/22/2015,28062513,UNC.CUAD.904.1,28062525,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150098,ALQUILADORA DE VEHICULOS AUTOMOTORES LAP68,71441244,Facturado,gp@vsys.com,8/22/2015,27780850,UNC.CUAD.911.1,27780851,UNR.CUAD.911.1,1,1,12,12,12,,
A04150136,ALQUILADORA DE VEHICULOS AUTOMOTORES LAP68,71441244,Facturado,gp@vsys.com,8/22/2015,28061698,UNC.CUAD.904.1,28061710,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
 A01150099 ,ALQUILADORA DE VEHICULOS AUTOMOTORES LEO50,71441264,Facturado,gp@vsys.com,8/22/2015,27780877,UNC.CUAD.911.1,27780878,UNR.CUAD.911.1,1,1,12,12,12,,
A04150139,ALQUILADORA DE VEHICULOS AUTOMOTORES LEO50,71441264,Facturado,gp@vsys.com,8/22/2015,28061711,UNC.CUAD.904.1,28061723,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
 A01150100,ALQUILADORA DE VEHICULOS AUTOMOTORES SAN50,71441265,Facturado,gp@vsys.com,8/22/2015,27780904,UNC.CUAD.911.1,27780905,UNR.CUAD.911.1,1,1,12,12,12,,
A04150137,ALQUILADORA DE VEHICULOS AUTOMOTORES SAN50,71441265,Facturado,gp@vsys.com,8/22/2015,28061726,UNC.CUAD.904.1,28061738,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150090,ALQUILADORA DE VEHICULOS AUTOMOTORES CSL60,71442896,Facturado,gp@vsys.com,8/22/2015,27779831,UNC.CUAD.911.1,27779832,UNR.CUAD.911.1,1,1,12,12,12,,
A04150162,ALQUILADORA DE VEHICULOS AUTOMOTORES CSL60,71442896,Facturado,gp@vsys.com,8/22/2015,28062526,UNC.CUAD.904.1,28062538,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150101,ALQUILADORA DE VEHICULOS AUTOMOTORES MZT50,71441268,Facturado,gp@vsys.com,8/22/2015,27780931,UNC.CUAD.911.1,27780932,UNR.CUAD.911.1,1,1,12,12,12,,
A04150138,ALQUILADORA DE VEHICULOS AUTOMOTORES MZT50,71441268,Facturado,gp@vsys.com,8/22/2015,28061741,UNC.CUAD.904.1,28061753,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150103,ALQUILADORA DE VEHICULOS AUTOMOTORES MXI50,71441277,Facturado,gp@vsys.com,8/22/2015,27781008,UNC.CUAD.911.1 ,27781009,UNR.CUAD.911.1,1,1,12,12,12,,
A04150149,ALQUILADORA DE VEHICULOS AUTOMOTORES MXI50,71441277,Facturado,gp@vsys.com,8/22/2015,28061784,UNC.CUAD.904.1,28061796,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
 A01150104,ALQUILADORA DE VEHICULOS AUTOMOTORES MXI60,71441278,Facturado,gp@vsys.com,8/22/2015,27781033,UNC.CUAD.911.1 ,27781034,UNR.CUAD.911.1,1,1,12,12,12,,
A04150148,ALQUILADORA DE VEHICULOS AUTOMOTORES MXI60,71441278,Facturado,gp@vsys.com,8/22/2015,28061797,UNC.CUAD.904.1,28061809,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150069,ALQUILADORA DE VEHICULOS AUTOMOTORES PAZ50,71441320,Facturado,gp@vsys.com,8/22/2015,27779212,UNC.CUAD.911.1,27779213,UNR.CUAD.911.1,1,1,12,12,12,,
A04150166,ALQUILADORA DE VEHICULOS AUTOMOTORES PAZ50,71441320,Facturado,gp@vsys.com,8/22/2015,28062029,UNC.CUAD.904.1,28062041,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150070,ALQUILADORA DE VEHICULOS AUTOMOTORES PUE50,71441321,Facturado,gp@vsys.com,8/22/2015,27779237,UNC.CUAD.911.1,27779238,UNR.CUAD.911.1,1,1,12,12,12,,
A04150167,ALQUILADORA DE VEHICULOS AUTOMOTORES PUE50,71441321,Facturado,gp@vsys.com,8/22/2015,28062044,UNC.CUAD.904.1,28062056,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150071,ALQUILADORA DE VEHICULOS AUTOMOTORES PUE60,71441323,Facturado,gp@vsys.com,8/23/2015,27779260,UNC.CUAD.911.1,27779261,UNR.CUAD.911.1,1,1,12,12,12,,
A04150168,ALQUILADORA DE VEHICULOS AUTOMOTORES PUE60,71441323,Facturado,gp@vsys.com,8/23/2015,28062057,UNC.CUAD.904.1,28062069,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150072,ALQUILADORA DE VEHICULOS AUTOMOTORES PVR50,71441357,Facturado,gp@vsys.com,8/23/2015,27779285,UNC.CUAD.911.1,27779286,UNR.CUAD.911.1,1,1,12,12,12,,
A04150169,ALQUILADORA DE VEHICULOS AUTOMOTORES PVR50,71441357,Facturado,gp@vsys.com,8/23/2015,28062072,UNC.CUAD.904.1,28062084,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150073,ALQUILADORA DE VEHICULOS AUTOMOTORES QRO50,71441358,Facturado,gp@vsys.com,8/23/2015,27779312,UNC.CUAD.911.1,27779313,UNR.CUAD.911.1,1,1,12,12,12,,
A04150123,ALQUILADORA DE VEHICULOS AUTOMOTORES QRO50,71441358,Facturado,gp@vsys.com,8/23/2015,28062315,UNC.CUAD.904.1,28062327,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150074,ALQUILADORA DE VEHICULOS AUTOMOTORES QRO60,71441361,Facturado,gp@vsys.com,8/23/2015,27779337,UNC.CUAD.911.1,27779338,UNR.CUAD.911.1,1,1,12,12,12,,
A04150125,ALQUILADORA DE VEHICULOS AUTOMOTORES QRO60,71441361,Facturado,gp@vsys.com,8/23/2015,28062330,UNC.CUAD.904.1,28062342,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150075,ALQUILADORA DE VEHICULOS AUTOMOTORES SAL50,71441362,Facturado,gp@vsys.com,8/23/2015,27779362,UNC.CUAD.911.1,27779363,UNR.CUAD.911.1,1,1,12,12,12,,
A04150126,ALQUILADORA DE VEHICULOS AUTOMOTORES SAL50,71441362,Facturado,gp@vsys.com,8/23/2015,28062343,UNC.CUAD.904.1,28062355,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150076,ALQUILADORA DE VEHICULOS AUTOMOTORES SLP50,71441364,Facturado,gp@vsys.com,8/23/2015,27779387,UNC.CUAD.911.1,27779388,UNR.CUAD.911.1,1,1,12,12,12,,
A04150130,ALQUILADORA DE VEHICULOS AUTOMOTORES SLP50,71441364,Facturado,gp@vsys.com,8/23/2015,28062356,UNC.CUAD.904.1,28062368,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150077,ALQUILADORA DE VEHICULOS AUTOMOTORES SLP60,71441365,Facturado,gp@vsys.com,8/23/2015,27779414,UNC.CUAD.911.1,27779415,UNR.CUAD.911.1,1,1,12,12,12,,
A04150131,ALQUILADORA DE VEHICULOS AUTOMOTORES SLP60,71441365,Facturado,gp@vsys.com,8/23/2015,28062369,UNC.CUAD.904.1,28062381,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150080,ALQUILADORA DE VEHICULOS AUTOMOTORES TIJ50,71441366,Facturado,gp@vsys.com,8/23/2015,27779569,UNC.CUAD.911.1,27779570,UNR.CUAD.911.1,1,1,12,12,12,,
A04150135,ALQUILADORA DE VEHICULOS AUTOMOTORES TIJ50,71441366,Facturado,gp@vsys.com,8/23/2015,28062384,UNC.CUAD.904.1,28062396,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150081 ,ALQUILADORA DE VEHICULOS AUTOMOTORES TIJ60,71441367,Facturado,gp@vsys.com,8/23/2015,27779594,UNC.CUAD.911.1 ,27779595,UNR.CUAD.911.1,1,1,12,12,12,,
A04150140,ALQUILADORA DE VEHICULOS AUTOMOTORES TIJ60,71441367,Facturado,gp@vsys.com,8/23/2015,28062399,UNC.CUAD.904.1,28062411,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150082,ALQUILADORA DE VEHICULOS AUTOMOTORES TOL50,71441368,Facturado,gp@vsys.com,8/23/2015,27779621,UNC.CUAD.911.1 ,27779622,UNR.CUAD.911.1,1,1,12,12,12,,
A04150141,ALQUILADORA DE VEHICULOS AUTOMOTORES TOL50,71441368,Facturado,gp@vsys.com,8/23/2015,28062412,UNC.CUAD.904.1,28062424,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150084 ,ALQUILADORA DE VEHICULOS AUTOMOTORES TUX50,71441371,Facturado,gp@vsys.com,8/24/2015,27779675,UNC.CUAD.911.1,27779676,UNR.CUAD.911.1,1,1,12,12,12,,
A04150147,ALQUILADORA DE VEHICULOS AUTOMOTORES TUX50,71441371,Facturado,gp@vsys.com,8/24/2015,28062442,UNC.CUAD.904.1,28062454,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150085,ALQUILADORA DE VEHICULOS AUTOMOTORES TUX60,71441372,Facturado,gp@vsys.com,8/24/2015,27779700,UNC.CUAD.911.1 ,27779701,UNR.CUAD.911.1,1,1,12,12,12,,
A04150151,ALQUILADORA DE VEHICULOS AUTOMOTORES TUX60,71441372,Facturado,gp@vsys.com,8/24/2015,28062457,UNC.CUAD.904.1,28062469,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150086,ALQUILADORA DE VEHICULOS AUTOMOTORES VER50,71441373,Facturado,gp@vsys.com,8/24/2015,27779727,UNC.CUAD.911.1,27779728,UNR.CUAD.911.1,1,1,12,12,12,,
A04150156,ALQUILADORA DE VEHICULOS AUTOMOTORES VER50,71441373,Facturado,gp@vsys.com,8/24/2015,28062470,UNC.CUAD.904.1,28062482,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
A01150087,ALQUILADORA DE VEHICULOS AUTOMOTORES VIL50,71441374,Facturado,gp@vsys.com,8/24/2015,27779754,UNC.CUAD.911.1,27779755,UNR.CUAD.911.1,1,1,12,12,12,,
A04150157,ALQUILADORA DE VEHICULOS AUTOMOTORES VIL50,71441374,Facturado,gp@vsys.com,8/24/2015,28062485,UNC.CUAD.904.1,28062497,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
 A01150088,ALQUILADORA DE VEHICULOS AUTOMOTORES VIL60,71441375,Facturado,gp@vsys.com,8/24/2015,27779779,UNC.CUAD.911.1 ,27779780,UNR.CUAD.911.1,1,1,12,12,12,,
A04150159,ALQUILADORA DE VEHICULOS AUTOMOTORES VIL60,71441375,Facturado,gp@vsys.com,8/24/2015,28062500,UNC.CUAD.904.1,28062512,UNR.CUAD.904.1,1,1,162.8,162.8,162.8,,
