folio,siteNumber,phase,clientName,user,startDate,partId,sku,unr,unrId,qty,fac_qty,unitaryPrice,Adjusted income (TOTAL),rent,,period
A10140157,70050962,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA DIVISION QUERETARO",gp@vsys.com,2/20/2016,27363904,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27364097,46,46,162.8,7488.8,7488.8,,
A10140157,70050962,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA DIVISION QUERETARO",gp@vsys.com,2/20/2016,27364098,UNC.CUAD.906.1,UNR.CUAD.906.1,27364152,46,40,18.5,851,740,,
A10140157,70050962,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA DIVISION QUERETARO",gp@vsys.com,2/20/2016,27364155,UNC.CUAD.911.1,UNR.CUAD.911.1,27364156,48,42,12,576,504,,
A10140153,70015971,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA CD JUAREZ",gp@vsys.com,1/27/2016,27361010,UNC.CUAD.901.1,UNR.CUAD.901.1,27361022,2,2,136.3,272.6,272.6,,
A10140153,70015971,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA CD JUAREZ",gp@vsys.com,1/27/2016,27361023,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27361104,18,18,162.8,2930.4,2930.4,,
A10140153,70015971,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA CD JUAREZ",gp@vsys.com,1/27/2016,27361105,UNC.CUAD.906.1,UNR.CUAD.906.1,27361131,18,14,18.5,333,259,,
A10140153,70015971,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA CD JUAREZ",gp@vsys.com,1/27/2016,27361134,UNC.CUAD.911.1,UNR.CUAD.911.1,27361135,20,16,12,240,192,,
A10140272,70050931,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. DIVISION TIJUANA",gp@vsys.com,4/7/2016,27408986,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27409147,38,38,162.8,6186.4,6186.4,,
A10140272,70050931,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. DIVISION TIJUANA",gp@vsys.com,4/7/2016,27409148,UNC.CUAD.906.1,UNR.CUAD.906.1,27409194,38,27,18.5,703,499.5,,
A10140272,70050931,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. DIVISION TIJUANA",gp@vsys.com,4/7/2016,27409197,UNC.CUAD.911.1,UNR.CUAD.911.1,27409198,40,29,12,480,348,,
A10140272,70050931,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. DIVISION TIJUANA",gp@vsys.com,4/7/2016,27408973,UNC.CUAD.901.1,UNR.CUAD.901.1,27408985,2,2,136.3,272.6,272.6,,
A10140263,71286960,Facturado,SECCION AMARILLA DIV MTY I,gp@vsys.com,12/1/2015,27405602,UNC.CUAD.906.1,UNR.CUAD.906.1,27405696,86,3,18.5,1591,55.5,,
A10140263,71286960,Facturado,SECCION AMARILLA DIV MTY I,gp@vsys.com,12/1/2015,27405699,UNC.CUAD.911.1,UNR.CUAD.911.1,27405700,88,3,12,1032,36,,
A10140154,70050942,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA CHIHUAHUA",gp@vsys.com,2/26/2016,27361200,UNC.CUAD.901.1,UNR.CUAD.901.1,27361212,2,2,136.3,272.6,272.6,,
A10140154,70050942,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA CHIHUAHUA",gp@vsys.com,2/26/2016,27361213,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27361338,29,24,162.8,4721.2,3907.2,,
A10140154,70050942,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA CHIHUAHUA",gp@vsys.com,2/26/2016,27361339,UNC.CUAD.906.1,UNR.CUAD.906.1,27361376,29,24,18.5,536.5,444,,
A10140154,70050942,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA CHIHUAHUA",gp@vsys.com,2/26/2016,27361379,UNC.CUAD.911.1,UNR.CUAD.911.1,27361380,31,26,12,372,312,,
A10140269,70163296,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA DIVISION TORREON",gp@vsys.com,3/3/2016,27408710,UNC.CUAD.901.1,UNR.CUAD.901.1,27408722,2,2,136.3,272.6,272.6,,
A10140269,70163296,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA DIVISION TORREON",gp@vsys.com,3/3/2016,27408723,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27408852,30,25,162.8,4884,4070,,
A10140269,70163296,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA DIVISION TORREON",gp@vsys.com,3/3/2016,27408853,UNC.CUAD.906.1,UNR.CUAD.906.1,27408891,30,25,18.5,555,462.5,,
A10140269,70163296,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA DIVISION TORREON",gp@vsys.com,3/3/2016,27408894,UNC.CUAD.911.1,UNR.CUAD.911.1,27408895,32,27,12,384,324,,
A10140264,70210405,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA GUADALAJARA",gp@vsys.com,3/12/2016,27405923,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27406272,85,66,162.8,13838,10744.8,,
A10140264,70210405,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA GUADALAJARA",gp@vsys.com,3/12/2016,27406273,UNC.CUAD.906.1,UNR.CUAD.906.1,27406366,85,66,18.5,1572.5,1221,,
A10140264,70210405,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA GUADALAJARA",gp@vsys.com,3/12/2016,27405908,UNC.CUAD.911.1,UNR.CUAD.911.1,27405909,87,68,12,1044,816,,
A10140273,70050933,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA TAMPICO",gp@vsys.com,3/17/2016,27409317,UNC.CUAD.901.1,UNR.CUAD.901.1,27409329,2,2,136.3,272.6,272.6,,
A10140273,70050933,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA TAMPICO",gp@vsys.com,3/17/2016,27409330,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27409427,22,17,162.8,3581.6,2767.6,,
A10140273,70050933,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA TAMPICO",gp@vsys.com,3/17/2016,27409428,UNC.CUAD.906.1,UNR.CUAD.906.1,27409458,22,17,18.5,407,314.5,,
A10140273,70050933,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA TAMPICO",gp@vsys.com,3/17/2016,27409461,UNC.CUAD.911.1,UNR.CUAD.911.1,27409462,24,19,12,288,228,,
A10140266,71254356,Facturado," ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA DIVISION LEON",gp@vsys.com,4/30/2016,27407458,UNC.CUAD.901.1,UNR.CUAD.901.1,27407470,2,2,136.3,272.6,272.6,,
A10140266,71254356,Facturado," ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA DIVISION LEON",gp@vsys.com,4/30/2016,27407471,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27407656,44,44,162.8,7163.2,7163.2,,
A10140266,71254356,Facturado," ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA DIVISION LEON",gp@vsys.com,4/30/2016,27407657,UNC.CUAD.906.1,UNR.CUAD.906.1,27407709,44,28,18.5,814,518,,
A10140266,71254356,Facturado," ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA DIVISION LEON",gp@vsys.com,4/30/2016,27407712,UNC.CUAD.911.1,UNR.CUAD.911.1,27407713,46,2,12,552,24,,
A10140238,71236930,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA MERIDA",gp@vsys.com,6/28/2016,27396370,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27396370,2,1,162.8,325.6,162.8,,
A10140238,71236930,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA MERIDA",gp@vsys.com,6/28/2016,27396400,UNC.CUAD.911.1,UNR.CUAD.911.1,27396404,2,1,12,24,12,,
A10140264,70210405,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA GUADALAJARA",gp@vsys.com,3/12/2016,27405923,UNC.CUAD.904.1.4,UNR.CUAD.904.1.4,27406272,85,4,162.8,13838,651.2,,
A10140264,70210405,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA GUADALAJARA",gp@vsys.com,3/12/2016,27405908,UNC.CUAD.911.1,UNR.CUAD.911.1,27405909,87,4,12,1044,48,,
A10140109,71236930,Facturado,"ANUNCIOS EN DIRECTORIOS, S.A.DE C.V. SECCION AMARILLA AGENCIA MERIDA",gp@vsys.com,7/21/2016,27344831,UNC.CUAD.907.1,UNR.CUAD.907.1,27344832,1,1,18.5,18.5,18.5,,
